sample_id,record_id,condition,run_id,overall_score,contradiction_flag,error_label
H0001,C1_P03_r2_S1_t2,C1,2,3.75,1,domain_drift
H0002,C1_P06_r2_S4_t1,C1,2,2.75,1,constraint_violation
H0003,B0_P02_r2_S1_t4,B0,2,2.0,1,role_breaking
H0004,C4_P03_r1_S2_t2,C4,1,2.5,1,self_contradiction
H0005,C3_P01_r1_S3_t4,C3,1,5.0,0,none
H0006,C3_P02_r2_S1_t2,C3,2,5.0,0,none
H0007,B0_P06_r3_S2_t2,B0,3,1.0,1,role_breaking
H0008,B0_P02_r1_S3_t1,B0,1,2.25,1,constraint_violation
H0009,C2_P03_r3_S2_t2,C2,3,2.25,1,self_contradiction
H0010,C1_P06_r3_S1_t3,C1,3,2.25,1,memory_failure
H0011,C1_P01_r1_S3_t2,C1,1,2.5,1,style_drift
H0012,C2_P01_r3_S2_t4,C2,3,5.0,0,none
H0013,C2_P05_r2_S5_t2,C2,2,2.75,1,domain_drift
H0014,C1_P06_r1_S3_t1,C1,1,3.25,1,constraint_violation
H0015,C2_P01_r1_S5_t4,C2,1,3.0,1,domain_drift
H0016,C2_P01_r2_S2_t4,C2,2,5.0,0,none
H0017,C4_P03_r3_S5_t4,C4,3,4.25,0,none
H0018,B0_P04_r1_S1_t4,B0,1,5.0,0,none
H0019,C4_P05_r3_S3_t2,C4,3,2.5,1,constraint_violation
H0020,C1_P06_r3_S4_t4,C1,3,5.0,0,none
H0021,B0_P01_r1_S1_t4,B0,1,5.0,0,none
H0022,C1_P05_r1_S4_t1,C1,1,5.0,0,none
H0023,C1_P04_r3_S4_t4,C1,3,5.0,0,none
H0024,B0_P02_r1_S3_t3,B0,1,2.0,1,role_breaking
H0025,C3_P06_r2_S3_t2,C3,2,2.75,1,constraint_violation
H0026,C3_P02_r3_S1_t3,C3,3,2.25,1,memory_failure
H0027,C2_P06_r2_S5_t1,C2,2,4.25,1,constraint_violation
H0028,C2_P04_r2_S3_t2,C2,2,2.5,1,style_drift
H0029,C4_P02_r3_S2_t4,C4,3,5.0,0,none
H0030,C2_P03_r2_S5_t3,C2,2,2.75,1,role_breaking
H0031,C4_P02_r2_S2_t1,C4,2,3.0,1,self_contradiction
H0032,C3_P05_r2_S4_t4,C3,2,5.0,0,none
H0033,B0_P03_r3_S3_t4,B0,3,2.25,1,role_breaking
H0034,C2_P05_r3_S5_t1,C2,3,3.0,1,constraint_violation
H0035,C2_P05_r1_S1_t1,C2,1,3.5,1,self_contradiction
H0036,C3_P04_r3_S3_t4,C3,3,5.0,0,none
H0037,C3_P05_r3_S2_t4,C3,3,5.0,0,none
H0038,B0_P03_r2_S2_t2,B0,2,1.25,1,role_breaking
H0039,C1_P02_r3_S3_t2,C1,3,2.75,1,constraint_violation
H0040,C2_P05_r2_S3_t2,C2,2,2.0,1,constraint_violation
H0041,C2_P05_r2_S1_t2,C2,2,3.0,1,domain_drift
H0042,C3_P01_r1_S1_t4,C3,1,5.0,0,none
H0043,C2_P02_r1_S3_t1,C2,1,4.5,1,constraint_violation
H0044,C4_P04_r3_S1_t4,C4,3,5.0,0,none
H0045,C1_P06_r2_S5_t1,C1,2,3.5,1,constraint_violation
H0046,C2_P04_r1_S4_t1,C2,1,5.0,0,none
H0047,C2_P01_r3_S1_t4,C2,3,5.0,0,none
H0048,C4_P01_r3_S2_t1,C4,3,5.0,0,none
H0049,C3_P04_r1_S2_t3,C3,1,3.25,1,constraint_violation
H0050,C3_P05_r1_S2_t2,C3,1,2.25,1,memory_failure
H0051,B0_P05_r1_S4_t1,B0,1,2.0,1,constraint_violation
H0052,B0_P03_r1_S2_t1,B0,1,5.0,0,none
H0053,C3_P01_r1_S4_t1,C3,1,5.0,0,none
H0054,C3_P04_r2_S1_t2,C3,2,5.0,0,none
H0055,C1_P06_r1_S2_t1,C1,1,5.0,0,none
H0056,B0_P01_r2_S5_t4,B0,2,5.0,0,none
H0057,C4_P01_r3_S1_t4,C4,3,5.0,0,none
H0058,B0_P02_r2_S4_t1,B0,2,2.0,1,constraint_violation
H0059,C1_P03_r2_S5_t4,C1,2,3.0,1,constraint_violation
H0060,B0_P05_r1_S2_t1,B0,1,1.0,1,constraint_violation
H0061,C2_P02_r1_S2_t1,C2,1,5.0,0,none
H0062,C1_P01_r3_S2_t4,C1,3,5.0,0,none
H0063,C3_P04_r2_S2_t3,C3,2,3.25,1,constraint_violation
H0064,B0_P03_r3_S1_t4,B0,3,5.0,0,none
H0065,C1_P05_r3_S4_t1,C1,3,3.25,1,constraint_violation
H0066,B0_P05_r2_S2_t2,B0,2,2.0,1,memory_failure
H0067,C3_P06_r3_S5_t4,C3,3,5.0,0,none
H0068,B0_P02_r1_S2_t2,B0,1,5.0,0,none
H0069,C1_P02_r3_S1_t2,C1,3,3.0,1,domain_drift
H0070,B0_P01_r2_S3_t3,B0,2,2.25,1,role_breaking
H0071,B0_P01_r1_S1_t3,B0,1,2.25,1,memory_failure
H0072,C1_P04_r3_S5_t1,C1,3,4.5,1,self_contradiction
H0073,C1_P04_r2_S2_t3,C1,2,3.25,1,constraint_violation
H0074,C2_P02_r3_S3_t2,C2,3,2.75,1,constraint_violation
H0075,C3_P02_r1_S3_t2,C3,1,2.5,1,constraint_violation
H0076,C2_P06_r3_S3_t4,C2,3,2.5,1,style_drift
H0077,C3_P06_r3_S2_t4,C3,3,5.0,0,none
H0078,C2_P02_r3_S5_t4,C2,3,2.75,1,constraint_violation
H0079,C3_P04_r3_S1_t4,C3,3,5.0,0,none
H0080,C1_P04_r1_S5_t3,C1,1,2.75,1,domain_drift
H0081,C2_P03_r1_S5_t3,C2,1,2.75,1,domain_drift
